typ_reguly,old_url_decoded,old_url_encoded,new_url
produkt-ID,https://www.agro-weld.pl/maszyny/liczarka/67cf27a9593631ce8409a960/,https://www.agro-weld.pl/maszyny/liczarka/67cf27a9593631ce8409a960/,https://www.agro-weld.pl/maszyny/wazenie-i-liczenie/liczarka/
produkt-ID,https://www.agro-weld.pl/maszyny/napełniacz-kaskadowy/67ce00bcfbceb1c67efb671c/,https://www.agro-weld.pl/maszyny/nape%C5%82niacz-kaskadowy/67ce00bcfbceb1c67efb671c/,https://www.agro-weld.pl/maszyny/pakowanie/napelniacz-kaskadowy/
produkt-ID,https://www.agro-weld.pl/maszyny/paletyzatory/696fb7e82abe02495323d54f/,https://www.agro-weld.pl/maszyny/paletyzatory/696fb7e82abe02495323d54f/,https://www.agro-weld.pl/maszyny/paletyzacja/
produkt-ID,https://www.agro-weld.pl/maszyny/przenośnik-taśmowy-z-przegrodami/666c1dd97db89265d45932c9/,https://www.agro-weld.pl/maszyny/przeno%C5%9Bnik-ta%C5%9Bmowy-z-przegrodami/666c1dd97db89265d45932c9/,https://www.agro-weld.pl/maszyny/przenosniki/przenosniki-tasmowe-poziome/
produkt-ID,https://www.agro-weld.pl/maszyny/przenośniki-rolkowe/67d055ce56741f12cc290d54/,https://www.agro-weld.pl/maszyny/przeno%C5%9Bniki-rolkowe/67d055ce56741f12cc290d54/,https://www.agro-weld.pl/maszyny/przenosniki/przenosniki-rolkowe/
produkt-ID,https://www.agro-weld.pl/maszyny/przenośniki-z-taśmą-modularną/67d05b4e56741f12cc290d56/,https://www.agro-weld.pl/maszyny/przeno%C5%9Bniki-z-ta%C5%9Bm%C4%85-modularn%C4%85/67d05b4e56741f12cc290d56/,https://www.agro-weld.pl/maszyny/przenosniki/przenosniki-tasmowe-poziome/
produkt-ID,https://www.agro-weld.pl/maszyny/raszlownica/6660a10598e0bc71d54ded80/,https://www.agro-weld.pl/maszyny/raszlownica/6660a10598e0bc71d54ded80/,https://www.agro-weld.pl/maszyny/pakowanie/raszlownica/
produkt-ID,https://www.agro-weld.pl/maszyny/stoły-obrotowe/697c804dfd4fc91bf9d751ce/,https://www.agro-weld.pl/maszyny/sto%C5%82y-obrotowe/697c804dfd4fc91bf9d751ce/,https://www.agro-weld.pl/maszyny/pakowanie/stoly-obrotowe/
produkt-ID,https://www.agro-weld.pl/maszyny/waga-kontrolna/67cf2b2e593631ce8409a962/,https://www.agro-weld.pl/maszyny/waga-kontrolna/67cf2b2e593631ce8409a962/,https://www.agro-weld.pl/maszyny/wazenie-i-liczenie/waga-kontrolna/
produkt-ID,https://www.agro-weld.pl/maszyny/wanna-do-płukania/697c7cc3fd4fc91bf9d751c0/,https://www.agro-weld.pl/maszyny/wanna-do-p%C5%82ukania/697c7cc3fd4fc91bf9d751c0/,https://www.agro-weld.pl/maszyny/oczyszczanie/wanna-do-plukania/
produkt-ID,https://www.agro-weld.pl/maszyny/zasobnik-buforowy/67cdd9c4799068ebb64efdde/,https://www.agro-weld.pl/maszyny/zasobnik-buforowy/67cdd9c4799068ebb64efdde/,https://www.agro-weld.pl/maszyny/przyjecie-i-buforowanie/zasobnik-buforowy/
